ts_code,name,industry,trade_date,close,ma3,ma5,ma10,ma15,ma20,ma30,ma50,ma60,ma75,ma90,ma120,ma150,ma200,price_1_150,price_1_200,price_150_200,price_50_150,price_50_200,price_max_25,price_min_25,score
300428.SZ,立中集团,汽车配件,20221202,28.0,28.7,28.32,28.238,28.642,29.2615,29.199,28.605,28.9323,30.4879,31.6961,32.7313,30.5855,28.394,0,0,1,0,1,0,1,3
600822.SH,上海物贸,商贸代理,20221202,8.3,8.3167,8.27,8.236,8.2047,8.1695,8.095,7.8514,7.8598,7.8677,7.8964,8.0481,8.1245,8.2474,1,1,0,0,0,1,0,3
688227.SH,品高股份,软件服务,20221202,23.52,22.82,22.524,23.625,23.304,22.7055,21.8103,20.4722,20.3438,20.4828,20.6383,20.7953,20.5881,21.642,1,1,0,0,0,0,1,3
000971.SZ,ST高升,互联网,20221202,2.14,2.0767,2.068,2.006,1.9587,1.936,1.9143,1.8784,1.8842,1.8983,1.9082,1.9285,1.9615,2.009,1,1,0,0,0,1,0,3
300442.SZ,润泽科技,轻工机械,20221202,44.89,45.0267,44.87,45.308,45.3666,45.5138,45.3883,44.0217,44.2913,44.7956,45.0194,45.5516,44.9775,44.2666,0,1,1,0,0,1,0,3
002138.SZ,顺络电子,元器件,20221202,25.58,25.6333,25.488,25.641,25.7453,25.353,24.138,22.823,23.048,23.8472,24.1976,24.497,24.6771,25.2145,1,1,0,0,0,0,1,3
600282.SH,南钢股份,普钢,20221202,3.27,3.3033,3.306,3.291,3.2827,3.265,3.214,3.0798,3.0623,3.0576,3.0513,3.0843,3.1135,3.2041,1,1,0,0,0,1,0,3
600298.SH,安琪酵母,食品,20221202,45.9,44.9633,43.966,42.339,42.05,41.542,40.561,41.2154,41.8472,43.0561,43.527,44.0367,43.3502,43.8352,1,1,0,0,0,0,1,3
603116.SH,红蜻蜓,服饰,20221202,5.45,5.39,5.356,5.308,5.3053,5.2675,5.1763,5.2056,5.2902,5.3403,5.3559,5.3335,5.2719,5.3426,1,1,0,0,0,1,0,3
688285.SH,高铁电气,运输设备,20221202,8.48,8.4733,8.492,8.408,8.3513,8.3605,8.2017,7.9476,7.9932,8.1219,8.2395,8.3098,8.2322,8.3949,1,1,0,0,0,1,0,3
600311.SH,*ST荣华,黄金,20221202,1.52,1.5433,1.546,1.517,1.5253,1.5265,1.485,1.4816,1.5053,1.5216,1.5346,1.5038,1.4809,1.5337,1,0,0,1,0,0,1,3
603727.SH,博迈科,石油开采,20221202,12.82,12.7367,12.57,12.304,12.2093,12.154,12.003,12.7744,13.0035,13.0003,12.7543,12.4689,12.1983,12.9549,1,0,0,1,0,0,1,3
603015.SH,弘讯科技,电气设备,20221202,7.15,7.04,6.996,7.063,7.1033,7.166,7.249,7.2428,7.3485,7.7889,7.9817,7.8912,7.4487,7.2213,0,0,1,0,1,0,1,3
