trade_date,ts_code,close,open,high,low,pre_close,change,pct_chg,vol,amount,adj_factor,ma3,ma_v_3,ma5,ma_v_5,ma10,ma_v_10,ma15,ma_v_15,ma20,ma_v_20,ma30,ma_v_30,ma50,ma_v_50,ma60,ma_v_60,ma75,ma_v_75,ma90,ma_v_90,ma120,ma_v_120,ma150,ma_v_150,ma200,ma_v_200
20160325,000001.SZ,910.6765,907.2367,940.7744,902.937,906.3768,4.29970000000003,0.4744,258567018.0,2765884380.13,85.994,896.9174,272167142.0,885.3942,281574366.4,879.7186,256402776.0,928.0473,266517336.4667,958.4461,317076896.85,955.5367,335957392.0667,1079.7752,616941813.94,1070.4015,615248042.9667,1041.6963,679827804.4133,989.3142,612699459.1667,909.8886,517904951.4417,865.4478,489880738.3267,796.4268,406638530.46
20160318,000001.SZ,906.3768,877.9987,908.9566,873.699,873.699,32.67780000000005,3.7402,314617698.0,3269782576.11,85.994,891.4711,304503449.0,875.9349,270203550.6,884.2763,257193703.6,936.8186,283579654.4667,961.7569,319467543.35,958.1452,342091369.6,1084.0858,631370257.66,1072.2765,624743376.2833,1039.1794,679042150.5867,986.9484,611712183.0556,908.9168,518033733.6583,864.1346,488795424.1267,794.8734,405627172.75
20160311,000001.SZ,873.699,890.0379,902.0771,854.7804,894.3376,-20.638599999999997,-2.3077,243316710.0,2486805273.81,85.994,869.9726,278229038.6667,865.2716,241388036.6,896.7454,250393301.1,943.6408,283044400.6,965.7556,326393631.9,964.1647,344932649.9333,1087.3881,640014399.22,1075.3719,630218434.55,1036.7009,676299702.8133,984.654,611342800.0111,908.0149,518999954.9417,862.6016,488706338.86,793.3145,404721272.5
20160304,000001.SZ,894.3376,841.8813,902.937,810.0635,841.8813,52.45629999999994,6.2308,355575939.0,3569277473.47,85.994,866.5329,264361115.0,862.5198,241531623.6,916.0941,266644895.1,957.3425,289951266.8667,970.3563,327649526.1,971.1876,349502397.6333,1091.6851,654280084.52,1078.6685,643901810.95,1034.6391,677247084.28,982.9358,611945597.3889,907.2345,520689850.025,861.6579,489916745.7533,791.9227,403908534.95
20160226,000001.SZ,841.8813,871.1192,886.5981,825.5424,863.3798,-21.498500000000035,-2.49,235794467.0,2362704257.92,85.994,852.7739,202682511.3333,862.5198,222392430.0,931.831,261244364.2,967.8911,305041838.6,972.5061,314714143.7,976.8058,360129095.4,1095.1004,669095584.92,1082.5211,650229365.7333,1032.5485,676825498.6133,980.3815,609144454.0889,906.2676,520933866.4,860.2535,489154962.6667,790.3773,402635086.99
20160219,000001.SZ,863.3798,830.702,878.8587,829.8421,853.0605,10.319299999999998,1.2097,201712939.0,2022497287.22,85.994,858.7934,205429237.3333,874.043,231231185.6,949.3738,258988821.5,982.7968,328911073.6667,975.5159,307411173.15,987.0965,373774024.2667,1097.362,672937493.42,1086.3717,665815895.0333,1031.1478,676642114.4133,978.4878,608422789.0111,906.0004,524222258.975,859.5725,488298457.0467,789.0386,401644948.695
20160205,000001.SZ,853.0605,858.2201,862.5198,837.5816,859.94,-6.879500000000007,-0.8,170540128.0,1689764548.99,85.994,869.1127,224818248.0,892.6177,244183856.6,967.2605,290267706.4,990.3642,335888874.2667,977.7088,307101879.7,997.9317,402198347.2667,1099.9754,673696248.06,1089.7455,684247066.7,1029.65,678310945.2267,976.4071,608142131.9111,905.3401,527191452.65,858.6686,489049407.6667,787.5421,400983049.84
20160129,000001.SZ,859.94,894.3376,897.7774,825.5424,894.3376,-34.3975999999999,-3.8462,244034645.0,2439406889.76,85.994,884.5916,261300953.6667,928.2192,259398565.6,982.8254,303872582.6,999.2503,354728830.3333,981.5355,312612907.6,1012.092,470453272.0,1102.7951,673088833.46,1092.0361,707043917.35,1027.9866,679139000.3733,974.24,608412072.3556,904.1673,527702840.8167,858.5353,490386859.5867,786.1511,400540006.11
20160122,000001.SZ,894.3376,889.178,928.7352,878.8587,899.4972,-5.159600000000069,-0.5736,259879971.0,2734073789.75,85.994,916.696,268781503.3333,969.6683,291758166.6,1004.7539,314161088.5,1006.3018,356355493.6,985.6632,319741842.3,1020.8921,500907907.0,1105.4203,675652680.44,1094.9106,736005061.8667,1026.3261,679694435.84,971.8538,607494451.3,903.1755,528403313.775,858.156,491274889.6867,784.7957,400006861.245
20160115,000001.SZ,899.4972,945.934,952.8135,896.0575,956.2533,-56.75609999999995,-5.9353,279988245.0,3014469322.44,85.994,962.2729,264359404.0,1001.1421,300096298.4,1020.5768,346366542.9,1009.1683,345488048.2667,991.8548,341436370.55,1030.5521,518818477.5333,1106.7324,681447165.28,1094.7369,753221705.5333,1024.425,680008479.0533,969.1437,605939410.5778,901.503,526548982.0833,857.7065,493025414.6267,783.3526,399558702.32
20160108,000001.SZ,956.2533,1031.928,1034.5078,937.3346,1031.0681,-74.81479999999999,-7.256,266476294.0,3033810066.9,85.994,1018.169,306307539.0,1024.7045,286746457.4,1037.1736,377751017.7,1009.3402,332804502.3333,993.4457,375734700.1,1042.5053,539113449.3667,1108.5381,687017096.36,1092.535,755624941.9833,1022.4171,681034679.9733,966.4477,606562658.7444,899.7973,527972535.8417,857.2709,494165164.7,781.9933,399035450.135
20151231,000001.SZ,1031.0681,1068.9054,1071.4852,1027.6283,1067.1855,-36.11740000000009,-3.3844,246613673.0,2980649479.73,85.994,1049.9867,318005651.0,1041.9033,336351556.2,1039.2375,381741383.1,1006.0725,328074554.0667,995.0796,384540202.6,1057.9555,577503418.2,1109.8765,698253310.82,1089.5411,764907191.8167,1019.8041,684644363.9867,962.8291,605781261.6556,898.0516,528244729.125,855.5067,494239535.62,780.2408,398344188.985
20151225,000001.SZ,1067.1855,1043.9672,1099.0033,1041.3873,1051.7066,15.478900000000067,1.4718,405832650.0,5055818467.14,85.994,1045.4004,306880773.3333,1037.4316,348346599.6,1034.7658,402393962.7,999.3076,330351021.6,997.8744,392202324.35,1070.31,611204312.7,1111.0972,706183461.24,1085.2766,773132291.6667,1015.7389,686825695.6533,958.7684,606667321.6,895.8868,533706180.5833,853.6368,494404303.88,778.0387,397585771.515
20151218,000001.SZ,1051.7066,1008.7096,1079.2247,1006.9897,1017.309,34.39760000000001,3.3812,301570630.0,3642112095.35,85.994,1037.0876,343103819.3333,1039.8394,336564010.4,1024.6185,388654157.1,990.9949,329069734.2,998.7343,390931148.9,1078.6514,639715857.8667,1111.1834,719353194.12,1080.5523,778767102.7167,1010.6046,683782602.9867,953.9108,604223083.3333,892.3603,532735619.8333,851.9313,494412406.08,775.7386,395873751.04
20151211,000001.SZ,1017.309,1047.4069,1053.4265,1008.7096,1042.2473,-24.938300000000027,-2.3927,213239040.0,2557662814.09,85.994,1022.7553,344776572.6667,1040.0114,392636787.4,1013.1813,368183923.2,988.759,355216394.6,999.2933,409571461.0,1090.2319,663237897.3667,1112.6591,728026366.04,1075.0793,780513296.7,1005.7431,682369151.5467,949.2186,604154834.8667,888.7584,532792452.75,849.538,495040704.12,773.5303,394948898.31
20151204,000001.SZ,1042.2473,1007.8497,1096.4235,988.931,1008.7096,33.53769999999997,3.3248,514501788.0,6263005663.46,85.994,1043.3939,389336794.0,1049.6428,468755578.0,1001.6581,355833524.8,983.0261,405397447.6667,1005.9578,431166625.65,1100.6085,686330057.9,1113.7713,747181309.74,1070.1086,783155421.4,1001.5676,681935883.7067,944.9151,604979419.5333,885.4481,535664663.8167,847.1763,496250977.8533,771.4563,394176040.95
20151127,000001.SZ,1008.7096,1079.2247,1083.5244,991.5108,1079.2247,-70.51509999999996,-6.5339,306588890.0,3750070908.3,85.994,1046.8336,411814369.6667,1036.5717,427131210.0,988.1571,323936053.0,979.4717,400603084.7333,1013.2673,458163667.7,1111.3005,696880011.0667,1114.2425,763042938.76,1064.7696,777907774.6167,996.9743,677338688.7733,940.0296,602137438.5556,881.9105,537072811.7167,843.9755,493762483.5067,769.078,391714101.34
20151120,000001.SZ,1079.2247,1043.1072,1092.1238,1039.6675,1052.5666,26.658099999999877,2.5327,346919704.0,4325869162.99,85.994,1065.7523,507562404.0,1032.1,456441325.8,980.2456,321353232.6,984.6886,406820899.2667,1026.7254,553743616.7,1125.5468,727546819.5333,1113.8782,787678184.3,1059.9659,774613528.3667,992.8566,677002479.8933,935.8282,601513196.3111,878.2972,536946961.2,841.1068,492266914.6133,766.7902,390443727.975
20151113,000001.SZ,1052.5666,1074.925,1150.5997,1048.2669,1065.4657,-12.899099999999862,-1.2107,581934515.0,7412529790.35,85.994,1031.6414,494049152.0,1009.3976,440744303.8,966.5726,325322596.1,985.0326,409053528.4,1028.9612,594281316.25,1135.8374,760645700.7333,1112.942,820373856.54,1053.9633,774071038.6333,988.0545,676344463.4933,931.0573,600575720.7111,874.0817,536528720.1333,837.674,490955218.9467,764.193,389067046.18
20151106,000001.SZ,1065.4657,969.1524,1080.9446,946.7939,976.8918,88.57389999999998,9.0669,593832993.0,7033672527.03,85.994,1009.5696,451117470.0,986.3512,343731059.0,963.1328,336506198.2,985.7206,415216352.2,1035.5397,605044444.85,1149.2811,793828219.6667,1109.5689,834592738.06,1048.7129,769771413.6167,982.8795,669964977.1867,926.8876,597931425.2111,870.0007,534979655.3083,834.2428,488215477.3,761.6985,386446704.265
20151030,000001.SZ,976.8918,997.5304,1015.5891,967.4325,986.3512,-9.45939999999996,-0.959,306379948.0,3511123100.7,85.994,976.3185,342651337.0,953.6735,242911471.6,949.7177,373718382.5,991.3962,418636974.8667,1045.1711,619794665.2,1160.6613,816851758.6667,1103.6072,831199726.84,1043.2356,763574874.6,977.626,664325132.08,922.8859,596207553.8222,865.7101,533919072.5667,830.8005,485545711.2667,759.1144,383833229.82
20151023,000001.SZ,986.3512,969.1524,1010.4295,958.8331,965.7126,20.638599999999997,2.1371,453139469.0,5149086891.85,85.994,963.1328,272814118.0,939.7424,220740896.0,950.9216,387339022.1,1005.4992,468507820.2667,1067.3145,675384435.75,1165.6384,839305400.5333,1099.6018,841540353.56,1039.4714,763916462.9667,973.6157,662592783.44,919.4143,593268618.2222,862.6003,536121368.5333,827.6688,484488244.2067,757.0755,382569345.22
20151016,000001.SZ,965.7126,942.4942,978.6117,938.1945,937.3346,28.37799999999993,3.0275,268434594.0,2994759275.99,85.994,935.0414,151679313.6667,928.3912,186265139.4,960.9829,382010686.0,1024.9338,586177713.6667,1088.0821,715609487.7,1168.4765,849094910.7667,1095.3788,847279957.46,1035.1706,760241542.8833,969.238,659148720.76,915.8505,589829510.5,858.9398,535538302.1583,824.1799,481813902.3333,755.0072,380823636.32
20151009,000001.SZ,937.3346,933.0349,941.6343,920.1358,902.0771,35.25750000000005,3.9085,96868291.0,1050116632.13,85.994,915.5495,127376805.6667,923.7475,209900888.4,972.8501,393208140.7,1035.4824,645460320.4,1105.6679,765246708.25,1172.571,872033790.1333,1091.739,856789691.84,1031.3322,760529171.4,964.9642,657722242.84,912.6847,589127924.1,855.7432,538020927.475,820.9395,480300979.3733,753.0135,379813676.315
20150930,000001.SZ,902.0771,908.0966,910.6765,887.4581,907.2367,-5.159600000000069,-0.5687,89735056.0,940028650.0,85.994,912.9696,188674270.6667,939.9144,329281337.4,985.4052,450958998.8,1051.9359,692148906.8,1128.7572,810764884.45,1176.8298,905349879.0667,1087.4589,862979171.4,1028.2392,763638586.75,961.1388,658029683.04,909.7175,590120940.4444,853.4204,539368572.0,817.8497,480018275.0533,751.1903,379753884.205
20150925,000001.SZ,907.2367,920.1358,951.0936,898.6373,929.5951,-22.35839999999996,-2.4052,195527070.0,2106253772.39,85.994,926.442,287633698.3333,945.762,504525293.4,1010.2575,506499726.5,1075.6703,745422396.4,1150.0838,851578324.45,1178.5928,916621706.9333,1083.7987,868619800.72,1025.6864,768092224.3833,957.8691,661314290.0267,907.3626,591618339.6889,851.6486,539212359.8333,815.0721,479761375.92,749.6547,379636978.39
20150918,000001.SZ,929.5951,945.0741,957.9732,898.6373,942.4942,-12.899099999999976,-1.3686,280760686.0,3033138365.08,85.994,963.4194,453714853.6667,962.1009,553937148.2,1038.3775,592391282.4,1109.8386,826932282.3333,1172.8722,883351990.1,1181.4864,918092493.6333,1080.0921,868702118.94,1023.2371,773786816.4667,954.1804,661322603.1733,905.0217,592005410.8667,849.9754,539190439.15,812.2867,478890548.4267,748.1669,379113091.26
20150911,000001.SZ,942.4942,993.2307,994.0906,910.6765,1018.169,-75.6748,-7.4324,386613339.0,4283755786.55,85.994,963.9927,682112903.6667,993.5747,577756232.6,1073.2051,786134000.8,1141.3124,892057603.8,1198.1974,930643613.0,1183.6347,913406117.3667,1075.91,865265587.52,1019.8467,775944364.1667,950.6606,661930581.6,902.3156,591630714.2667,848.5561,538902487.3333,809.2075,477442549.2,746.5764,378267179.965
20150902,000001.SZ,1018.169,920.9957,1031.928,901.2171,931.315,86.85399999999993,9.326,693770536.0,7855925439.14,85.994,979.4717,700770572.0,1021.9527,576515393.0,1091.3499,863240036.4,1166.308,950361981.5333,1220.4698,978307253.05,1185.2584,912926572.5333,1071.4414,863820727.14,1015.5071,772460820.1833,946.494,659253753.16,899.57,589772370.6111,846.9388,537828944.4417,806.1629,475263286.28,744.7418,376619507.14
20150828,000001.SZ,931.315,954.5334,960.553,799.7442,988.931,-57.615999999999985,-5.8261,965954836.0,9825708656.72,85.994,1002.4034,602799096.0,1030.8961,572636660.2,1107.9467,873582691.5,1191.7048,971259400.1333,1242.3553,1022489230.4,1183.3174,908121028.4333,1065.8289,856424456.7,1009.9891,764157340.7833,941.3105,653942522.92,896.3987,584836795.8556,844.6004,534108395.1917,802.5564,471016927.7067,742.588,373616051.93
20150821,000001.SZ,988.931,1084.3843,1095.5636,985.4912,1086.9642,-98.03319999999985,-9.019,442586344.0,5380659613.12,85.994,1053.4265,407617197.6667,1074.753,508474159.6,1140.6244,865870947.9,1218.191,967262668.1333,1266.133,1038418446.75,1185.2663,894538693.8667,1061.9392,841546173.02,1006.203,751070492.7167,937.2929,644895813.9067,894.6726,578554137.9,842.9256,528361574.8917,799.4906,465053906.2333,740.8111,369130106.485
20150814,000001.SZ,1086.9642,1088.684,1117.0621,1068.0455,1084.3843,2.5798999999999523,0.2379,399856108.0,5085258371.09,85.994,1078.0781,484880707.0,1114.6542,630845416.6,1183.7074,963429849.4,1243.1293,993156937.4,1272.9968,1065288589.75,1186.4079,907395382.9667,1057.1814,839231951.14,1001.35,746522589.7833,932.1412,642444309.32,892.5074,576681188.3444,840.6319,525471437.7583,795.9809,462610278.0333,738.8502,367254709.92
20150807,000001.SZ,1084.3843,1049.1268,1117.0621,1044.8271,1062.8858,21.498499999999922,2.0227,380409141.0,4803832499.33,85.994,1099.2899,566642782.0,1152.8355,994511769.0,1215.1812,1049208289.4,1266.405,1048272739.8,1272.2233,1082637023.15,1186.5791,915504219.1667,1050.0082,835887714.26,994.8986,744547875.05,926.0561,640451655.72,889.2984,577022389.9444,837.2109,524649761.0917,792.0976,460399492.64,736.4674,365650734.285
20150731,000001.SZ,1062.8858,1139.4205,1145.4401,1033.6479,1150.5997,-87.71389999999997,-7.6233,674376872.0,8445378549.43,85.994,1133.9742,791320611.3333,1160.747,1149964679.8,1238.4856,1137285275.8,1286.6422,1112237873.0667,1272.4314,1111446614.85,1186.1494,938301224.2667,1043.0286,833993377.54,988.81,743167197.2667,920.2623,638880159.1733,885.9169,577752334.1556,834.2755,525020332.7833,788.2699,458441014.38,734.0042,364043318.32
20150724,000001.SZ,1150.5997,1186.7172,1186.7172,1145.4401,1188.4371,-37.837400000000116,-3.1838,645142333.0,8747942842.49,85.994,1205.6359,1305924277.3333,1184.9973,1174528722.8,1272.1092,1170570770.1,1312.8417,1172440087.1333,1272.5421,1132545319.2,1188.2364,940329636.0667,1036.806,826174504.34,982.1693,733652133.4333,915.121,634474439.8133,882.7548,574535456.7333,831.1154,521411429.4833,784.5807,454326398.1,731.7292,361129916.21
20150717,000001.SZ,1188.4371,1238.3136,1280.4507,1152.3196,1277.8708,-89.43369999999982,-6.9986,1054442629.0,14760899026.25,85.994,1196.7498,1476768064.6667,1206.4958,1223267736.2,1289.91,1196656922.4,1329.9264,1215066542.4667,1262.7604,1121682697.15,1185.6469,957857765.8,1028.7721,820410723.96,974.1834,725747171.3833,909.1839,631721669.6133,878.9684,574371670.5444,827.6915,516929565.2417,780.3498,450512559.6133,729.0964,358445129.195
20150710,000001.SZ,1277.8708,1229.7142,1320.8678,1041.3873,1123.9416,153.9291999999998,13.6955,2218187870.0,31026573237.51,85.994,1195.3166,1391019550.6667,1252.7606,1296014282.2,1307.3668,1174312697.8,1325.7776,1210102980.8,1253.0408,1080943099.25,1181.5593,966295786.1333,1020.209,810065923.28,965.6448,711114024.2333,902.1973,618220777.8133,874.4762,568855821.1111,823.8529,510762172.7667,776.0319,443919819.4067,726.1344,353630044.595
20150703,000001.SZ,1123.9416,1210.7955,1254.6525,1096.4235,1184.1374,-60.19579999999996,-5.0835,1157673695.0,16008066961.95,85.994,1188.7237,947902727.3333,1277.5269,1103904809.8,1323.1897,1075153225.2,1312.0192,1112012107.8667,1238.8496,977042175.65,1171.9801,943634562.7,1009.175,773906436.84,955.314,677391472.5333,894.0338,590559869.8667,868.1923,546786030.4222,820.1462,495370256.4833,771.1225,429546519.3333,722.7325,343076417.985
20150626,000001.SZ,1184.1374,1258.9522,1344.0862,1150.5997,1258.0922,-73.95479999999998,-5.8783,797197087.0,11737198406.25,85.994,1287.3302,1034736615.3333,1316.2242,1124605871.8,1349.5898,1093374469.7,1309.6596,1098607259.8667,1232.2127,937769840.6,1168.9292,971102216.7333,1000.3385,754304976.94,947.3346,660787723.45,888.1252,577861444.84,863.9367,537568449.3667,817.472,488866635.3583,767.256,422213289.86,720.0391,337741569.56
20150619,000001.SZ,1258.0922,1421.4808,1427.5004,1246.913,1419.7609,-161.66869999999994,-11.387,888837400.0,13909588328.13,85.994,1359.8518,1188217755.6667,1359.2212,1166612817.4,1376.7639,1171395769.3,1301.7237,1118550851.3333,1221.0028,925390196.9,1158.9216,987624933.5333,990.3976,742272270.64,938.4395,649499877.1,881.2738,569715347.1733,858.4867,529125816.9333,814.4951,486577148.9,762.8925,417253579.7867,717.2314,334266436.985
20150612,000001.SZ,1419.7609,1403.4221,1500.5953,1392.2429,1401.7022,18.058700000000044,1.2883,1418175359.0,23821364895.81,85.994,1379.6304,1312331624.0,1373.3242,1170046108.6,1391.6416,1210965945.6,1281.5153,1087821017.4667,1207.5873,908872566.85,1142.5647,972136434.6,979.3187,728110401.68,928.4189,640287263.4333,873.701,560857528.3467,852.2279,524258898.0,810.9623,482928093.5333,758.06,411673873.0867,714.0307,330259654.635
20150605,000001.SZ,1401.7022,1318.288,1444.6992,1306.2489,1317.4281,84.27409999999986,6.3969,1257640508.0,20113873500.48,85.994,1372.7509,1175350442.6667,1361.973,1052611113.4,1362.2861,1167147330.1,1253.1343,1009252704.9333,1187.7581,879378149.75,1121.1267,952310965.4333,964.8785,703141137.86,915.2658,619920183.3833,864.0583,545020036.5733,844.7502,511825166.1,804.8945,473423564.975,752.1807,402663062.3267,710.1616,323844471.985
20150529,000001.SZ,1317.4281,1406.0019,1454.1585,1299.3693,1399.1224,-81.69429999999988,-5.839,1261179005.0,20522500800.76,85.994,1348.3859,1058138225.3333,1368.8525,1046401640.6,1329.2654,1116065756.9,1225.9571,934754630.9333,1172.278,848652184.05,1100.2432,935060270.6333,950.8421,683615792.18,902.9977,604398826.05,854.5162,531545336.36,837.7457,507873469.8778,799.4686,465204301.675,746.4601,394775721.5133,706.2985,318247641.385
20150522,000001.SZ,1399.1224,1307.1088,1401.7022,1287.3302,1328.6073,70.51510000000007,5.3074,1007231815.0,15850288790.9,85.994,1363.5782,914745351.3333,1382.9555,1062143067.6,1306.3773,1085607953.9,1204.2088,875491163.5333,1159.9813,838809198.5,1082.4531,917818347.5667,938.8748,664343581.56,891.5405,586476696.0667,846.2224,517654448.4267,830.2632,497075540.4889,795.2513,458086543.1333,741.3062,386812168.1667,702.7508,312577283.09
20150515,000001.SZ,1328.6073,1358.7052,1397.4025,1313.1284,1363.0049,-34.39760000000001,-2.5237,906003856.0,14325866949.63,85.994,1375.904,987865794.3333,1394.3067,1176178721.2,1272.975,1094519868.3,1174.93,844982656.7333,1146.2999,825209069.05,1059.9267,897788696.0333,924.1813,646268406.1,878.7119,574613303.6167,837.3375,507552275.0,821.6006,489310637.8778,789.3646,452991405.8083,735.5454,380522088.1,698.8054,308019753.025
20150508,000001.SZ,1363.0049,1436.0998,1436.0998,1332.0471,1436.0998,-73.09490000000005,-5.0898,831000383.0,13276536270.38,85.994,1395.6826,1132493222.3333,1409.9591,1251885782.6,1235.6108,1046708471.9,1152.3416,821814719.6,1133.5154,838458187.5,1039.6087,879980784.9,911.0381,631565221.18,867.0684,564304100.35,829.9689,500812431.8533,813.728,485442865.7889,783.8183,448731207.8417,730.3169,375400202.9933,695.0151,303977565.72
