ts_code,market,name,industry,trade_date,close,ma3,ma5,ma10,ma15,ma20,ma30,ma50,ma60,ma75,ma90,ma120,ma150,ma200,score1_3,score1_5,score1_10,score3_5,score3_10,score3_15,score3_20,score3_30,score5_10,score5_20,score5_30,week_score,month_score
002181.SZ,中小板,粤传媒,出版业,20221202,7.16,7.2867,7.302,7.125,6.3733,5.8655,5.2207,4.7582,4.6968,4.6452,4.5774,4.5134,4.4195,4.3423,1.0637328066559055,1.0794044665012408,1.1046262249286032,1.0147327033135347,1.0384433177362045,1.4057159084329776,1.7383218164138945,2.418327500119763,1.02336636470397,1.7130834659586045,2.383216281709353,1.0479,6.5993
002193.SZ,中小板,如意集团,纺织,20221202,7.12,6.7133,6.638,6.445,6.5307,6.416,6.2647,6.3764,6.476,6.5808,6.5744,6.4443,6.2792,6.2187,1.7102973409790332,1.6682359445253077,1.491901141198442,0.9754069684575152,0.8723051281506561,0.8196712386441588,0.9726657808654006,1.1651559878687088,0.8942986428834913,0.9971896985763292,1.1945331800440775,0.8088,2.4588
002209.SZ,中小板,达意隆,轻工机械,20221202,8.7,8.63,8.564,8.534,8.5393,8.56,8.5203,8.2306,8.3117,8.4309,8.4592,8.1679,7.8472,7.6976,0.8247656514700901,0.8767017215299289,0.7505530675012142,1.0629706995766206,0.9100197930932298,0.875197893963431,0.7644232256542081,0.6091942160606374,0.8561099505900671,0.7191385669978264,0.5731053699817674,0.7484,0.8621
002290.SZ,中小板,禾盛新材,家用电器,20221202,10.16,9.9933,9.712,9.115,8.9333,8.7855,8.518,8.2394,8.2175,8.2209,8.2856,8.0095,7.6954,7.5207,1.0310490892043933,0.9817448778528112,1.090681586330018,0.9521805393479108,1.0578367196576837,1.2483514646100469,1.3727095603930268,1.521575480746573,1.1109623395392332,1.4416484097995854,1.597990525818355,1.2496,1.5821
002318.SZ,中小板,久立特材,特种钢,20221202,16.96,17.12,17.266,17.398,17.2527,17.2975,17.298,16.8534,16.9498,17.0547,17.1542,16.8753,16.5876,16.2283,0.7961653308187963,0.7812596385170564,0.7309928863108379,0.9812781444698044,0.9181420717717846,0.8752487413914846,0.8962098057719121,0.7625656144387719,0.9356593509660476,0.913308638149833,0.777114642506172,0.8791,0.8988
002416.SZ,中小板,爱施德,电器连锁,20221202,10.21,10.2533,10.046,9.963,10.06,10.151,10.1013,9.6474,9.6332,9.7231,9.575,9.4206,9.1402,9.015,0.7939595146458267,0.8869633714060655,0.9616021008358508,1.1171392936851778,1.2111475246503052,1.1479905022732484,0.9584067195751552,0.9501915067055262,1.0841508588020536,0.8579115648269773,0.8505577702589526,1.1838,1.3275
002426.SZ,中小板,胜利精密,元器件,20221202,2.86,2.9533,2.86,2.74,2.6827,2.666,2.611,2.629,2.6373,2.6507,2.6183,2.5355,2.3919,2.3173,0.6028403774597626,0.7448656225242244,1.0563206645518135,1.2355934512265505,1.752239405401008,2.2605008214398525,2.5273043235970203,3.115866694992248,1.4181358792907106,2.0454173831110976,2.5217572105931647,2.4372,2.0025
002430.SZ,中小板,杭氧股份,化工机械,20221202,40.04,40.6467,40.94,41.524,40.9533,40.4625,41.1017,39.1872,38.7947,38.5868,38.6299,37.3207,35.5565,33.4006,0.6381197329539237,0.5931634365939265,0.6425855513307984,0.929548807162114,1.0069984019397145,0.8324677927804808,0.8303344238458744,0.7513022599915307,1.0833195569515623,0.8932660850599784,0.8082440149487524,1.1818,1.0094
002523.SZ,中小板,天桥起重,工程机械,20221202,3.26,3.3233,3.216,3.135,3.0987,3.0825,3.029,3.0112,3.0572,3.1105,3.1768,3.1229,2.9994,2.9519,0.6523739760229454,0.9149471856460716,1.1530984780238016,1.402488785993344,1.767542116031993,2.099771231824195,2.331459525510485,2.618791158119227,1.2602896605551763,1.6623730248646351,1.8672457022637865,1.7038,1.6547
002535.SZ,中小板,ST林重,工程机械,20221202,2.68,2.73,2.708,2.618,2.538,2.4805,2.384,2.2556,2.2485,2.2429,2.2301,2.1137,2.0249,1.9368,0.910554332112893,0.9524485841837276,0.935812949880032,1.046009612598977,1.0277398249355727,1.1537322459566297,1.2707135606787312,1.4735161467245188,0.9825338243135164,1.2148201559270966,1.4087022996503196,0.9657,1.6431
