ts_code,industry,name,trade_date,ma1,ma3,ma5,ma10,ma15,ma20,ma30,ma45,ma60,score1_3,score1_5,score1_10,score3_5,score3_10,score3_15,score3_20,score3_30,score5_10,score5_20,score5_30,week_score,month_score,turnover_rate_score
000666.SZ,多元金融,经纬纺机,20221202,27.3323,18.676433333333332,13.32862,7.9440100000000005,5.9758933333333335,4.860645000000001,3.8797166666666665,3.412544444444445,3.060691666666666,1.4634646515305385,2.0506474038572633,3.4406175218812662,1.4012278340393327,2.3510082859076626,3.125295632229044,3.8423775719751863,4.813865273666892,1.6778201437309368,2.7421504759142046,3.435462211587616,5.2077,2.124,69.6478
603289.SH,专用机械,泰瑞机器,20221202,11.7314,12.419133333333335,8.293800000000001,4.844570000000001,3.575286666666668,3.0279499999999997,2.7124900000000007,2.1389,1.9684183333333332,0.9446230815891608,1.4144782849839639,2.4215565055309343,1.4973996640060447,2.5635161290544533,3.4736049137318585,4.101498813828939,4.578499214129207,1.7119785656931368,2.73908089631599,3.0576333921968373,5.9439,2.0006,69.5064
000632.SZ,综合类,三木集团,20221202,16.8105,27.656733333333335,25.74588,15.26277,11.054133333333334,8.935375000000002,7.430483333333333,5.579851111111111,5.072171666666667,0.6078266654774847,0.6529394217637929,1.1014055771003561,1.0742197716035862,1.8120389243455373,2.501935927435891,3.0951955942904834,3.7220638406205073,1.6868419035338933,2.8813429766517906,3.464899770988428,5.3866,2.9216,68.9017
600824.SH,百货,益民集团,20221202,2.1254,3.0825666666666667,2.5243200000000003,1.4138600000000001,1.068506666666667,0.8949199999999999,0.7147866666666667,0.5683733333333333,0.5590599999999999,0.6894903597651307,0.8419693224313873,1.5032605774263363,1.2211473452916692,2.1802488695250353,2.8849297461878254,3.444516455847078,4.312568785092055,1.7854101537634561,2.820721405265276,3.5315711914044288,8.3201,3.0629,68.7953
300892.SZ,乳制品,品渥食品,20221202,31.6239,18.430166666666665,12.137899999999998,6.881480000000001,5.448646666666667,4.712865000000001,3.8917999999999995,3.2879733333333334,3.1379766666666664,1.7158770494027005,2.605384786495193,4.595508524329068,1.5183982951471562,2.6782271643115525,3.3825218984041294,3.9106078079186783,4.735640748925091,1.7638502182670004,2.575482217292453,3.118839611490827,7.4692,2.293,67.2943
000617.SZ,多元金融,中油资本,20221202,2.3816,2.3783333333333334,2.15688,1.5241700000000002,1.1400933333333334,0.9198850000000001,0.6575333333333333,0.4872466666666667,0.47417833333333337,1.0013735108619481,1.1041875301361226,1.5625553579981235,1.1026729967978437,1.5604121150090429,2.0860865192323437,2.585468111050113,3.6170536347967155,1.4151177362105276,2.3447278735928947,3.28025955591605,2.4195,6.7059,67.1182
601949.SH,出版业,中国出版,20221202,1.8347,2.900233333333334,4.097700000000001,2.60003,1.8502666666666667,1.4728800000000002,1.09846,0.8096800000000001,0.6851983333333334,0.632604273219396,0.44773897552285424,0.7056457040880298,0.7077710260227282,1.1154614882648792,1.5674677523960512,1.9690900367533903,2.6402721385697556,1.5760202766891154,2.782100374775949,3.7304043843198667,3.7172,5.0593,67.0794
002423.SZ,多元金融,中粮资本,20221202,1.375,1.9263666666666666,2.19018,1.3683999999999998,0.9846733333333332,0.7905750000000001,0.6080133333333334,0.47384222222222216,0.4024883333333333,0.7137789621221298,0.627802281091052,1.004823151125402,0.8795471909462541,1.4077511448894087,1.9563510064251428,2.4366652963560274,3.1682967478783355,1.600540777550424,2.770363343136324,3.6021907414311083,4.0068,3.3869,66.9138
603773.SH,元器件,沃格光电,20221202,5.8959,10.807700000000002,9.339080000000001,8.723830000000001,6.261533333333333,4.855325,3.4842966666666664,2.5368866666666663,2.0984450000000003,0.5455277256030422,0.631314861849347,0.675838479200076,1.1572553185110313,1.2388710004665382,1.7260468681792536,2.225947799580873,3.1018311682223776,1.0705252165619916,1.9234716522580881,2.6803343381591125,1.1518,6.8526,65.8507
000011.SZ,区域地产,深物业A,20221202,5.8223,6.898833333333333,6.235860000000001,3.740780000000001,2.921713333333334,2.46707,1.8528233333333333,1.4128177777777777,1.405845,0.8439542917884667,0.9336803584429413,1.5564401007276554,1.1063162632473038,1.8442232190434433,2.3612286854516866,2.796367080517915,3.7234166956014874,1.6669945840172369,2.5276380483731717,3.3655988068659184,5.0059,4.6143,65.6644
600708.SH,全国地产,光明地产,20221202,3.8298,6.543266666666667,5.44698,3.15351,2.5330266666666663,2.17041,1.6559700000000002,1.3428555555555555,1.2675133333333333,0.5853039766069955,0.7031052069220008,1.2144562725344141,1.2012650435042294,2.074915464566996,2.583181121925286,3.0147606519812693,3.951319568993802,1.7272753217842975,2.50965485783792,3.289298719179695,6.3334,3.4103,65.149
002462.SZ,医药商业,嘉事堂,20221202,17.8325,13.865666666666664,9.49968,5.65375,4.65398,3.930545,3.3251700000000004,2.896406666666666,2.345555,1.2860903430535857,1.8771684940966433,3.1541012602255143,1.4595930248878557,2.4524725477190654,2.9793137629870916,3.5276702509872457,4.169912114769068,1.680244085783772,2.4168862078922895,2.8569005494455917,5.2548,1.617,64.5187
002948.SZ,银行,青岛银行,20221202,1.6447,3.313,4.50542,2.6852600000000004,1.9294200000000004,1.5623749999999998,1.2204733333333333,0.9478555555555556,0.8194116666666666,0.4964382734681557,0.36504920739908825,0.6124919002256763,0.7353365501995375,1.2337725210966535,1.7170963294668862,2.120489639171134,2.7145205958344034,1.6778338038029834,2.883699495959677,3.691534978232489,5.208,3.4963,64.2951
600748.SH,全国地产,上实发展,20221202,1.7316,3.2294666666666667,2.8693,1.6861899999999999,1.319073333333333,1.1041700000000003,0.8597566666666666,0.6939066666666668,0.6799366666666667,0.5361876057966227,0.603492140940299,1.0269305357047547,1.1255242277442814,1.9152448221532965,2.4482844016759246,2.9247911704417486,3.7562566152438484,1.7016469081183023,2.598603475914034,3.337339634857925,5.7035,3.0941,64.0114
000058.SZ,商品城,深赛格,20221202,6.3913,6.2581,4.81312,3.99054,2.92812,2.3628500000000003,1.7511466666666666,1.3433844444444445,1.2442666666666666,1.0212844153976448,1.3278912638787317,1.6016128143058332,1.3002169071205372,1.5682338731099048,2.1372416431020587,2.6485388408066526,3.5737155083145518,1.206132503370471,2.0369976934634018,2.748553328866419,1.5193,4.9351,63.7527
000026.SZ,服饰,飞亚达,20221202,8.0129,4.948633333333333,3.31566,2.1516,1.8030466666666667,1.502595,1.2503199999999999,0.974382222222222,0.8820366666666667,1.6192147326871391,2.416683254615974,3.724158765569808,1.4925032522433945,2.299978310714507,2.744595259135463,3.2933913219019986,3.957893445944505,1.5410206358059118,2.206622543000609,2.6518491266235844,3.3575,2.6397,63.661
